response_id,survey_date,last_tool_used,age,age_group_self_reported,occupation,employment_status,prior_education,annual_income_usd,income_range_self_reported,favorite_color,region,urbanicity,household_size,daily_task,primary_ai_use_case,last_prompt,ai_feedback_comment,sentiment_label_self_reported,preferred_device,subscription_status,usage_frequency,monthly_ai_budget_usd,trust_level,privacy_concern,decision_stage,info_source,adoption_motivation,likelihood_to_recommend,satisfaction_score,age_group,income_group,high_value_user,likely_to_pay,feedback_sentiment,tool_group,trust_score_num,privacy_score_num
R100000,2026-05-28,ChatGPT/OpenAI,35.0,35-44,Lawyer,Student,Associate degree,129000.0,$100k-$149k,Blue,Northeast,Urban,2.0,Customer service replies,Education,Explain this legal clause like I'm not a lawyer.,"It gave me fake citations, which is a big problem.",Negative,Laptop,Free,Daily,13.0,Low,High,Evaluation of alternatives,News article,Automate routine work,0.0,1.0,35-44,$100K-$149K,No,No,Negative,ChatGPT/OpenAI,2.0,3.0
R100001,2026-04-09,ChatGPT/OpenAI,43.0,35-44,Marketing Manager,Student,Bachelor's degree,,$100k-$149k,Pink,West,Urban,2.0,Healthcare admin notes,Personal organization,Suggest questions to ask before buying a used car.,I am still learning what it can do.,Neutral,Shared device,Free,Weekly,11.0,Moderate,Moderate,Purchase decision,Search engine,less stress,,3.0,35-44,Unknown,No,No,Neutral,ChatGPT/OpenAI,3.0,2.0
R100002,03/29/2026,ChatGPT/OpenAI,43.0,35-44,Physician Assistant,Full-time,High school,80000.0,$75k-$99k,Gray,Midwest,Suburban,2.0,Presentation design,Creative writing,,"It gave me fake citations, which is a big problem.",Negative,Laptop,Not sure,A few times a week,14.0,,Moderate,Purchase decision,Social media,free trial,2.0,1.0,35-44,$75K-$99K,No,No,Negative,ChatGPT/OpenAI,,2.0
R100003,2026-03-12,ChatGPT/OpenAI,41.0,35-44,Lawyer,Part-time,Bachelor's degree,,$75k-$99k,teal,West,Suburban,1.0,Translation,Career planning,Write a bedtime story about a robot dog.,It helped me organize my thoughts when I was stuck.,Positive,Laptop,Free,Daily,0.0,Moderate,High,Information search,Social media,Make better decisions,9.0,,35-44,Unknown,No,No,Positive,ChatGPT/OpenAI,3.0,3.0
R100004,2026-03-15,ChatGPT/OpenAI,18.0,18-24,Operations Coordinator,Part-time,Associate degree,56000.0,$50k-$74k,Teal,International,Urban,2.0,Studying,Shopping decisions,draft a customer service reply to an angry customer.,I have not used it enough to decide.,Neutral,Smartphone,Paid individual,Tried once,,High,Moderate,Evaluation of alternatives,Employer,Make better decisions,4.0,3.0,18-24,$40K-$74K,No,No,Neutral,ChatGPT/OpenAI,4.0,2.0
R100005,2026-02-09,ChatGPT/OpenAI,24.0,18-24,Consultant,Part-time,Bachelor's degree,90000.0,$75k-$99k,RED,Northeast,Suburban,3.0,Researching products,Personal organization,Write a bedtime story about a robot dog.,It repeats the same advice over and over.,Negative,Smartphone,Free,Monthly,0.0,Moderate,Moderate,Not sure,YouTube,Have fun,2.0,2.0,18-24,$75K-$99K,No,No,Negative,ChatGPT/OpenAI,3.0,2.0
R100006,2026-04-25,ChatGPT/OpenAI,40.0,35-44,Small Business Owner,Self-employed,Master's degree,89000.0,$75k-$99k,Yellow,International,Urban,2.0,Job applications,Research,Draft a customer service reply to an angry customer.,I hate that I need to fact-check every single line.,Ugly,Laptop,Free,Multiple times daily,0.0,Very low,Moderate,Not sure,Friend/family,Be more creative,0.0,1.0,35-44,$75K-$99K,No,No,Ugly,ChatGPT/OpenAI,1.0,2.0
R100007,2026-02-08,ChatGPT/OpenAI,27.0,25-34,Data Analyst,Self-employed,Bachelor's degree,134000.0,<$25k,Gray,West,Rural,3.0,Data analysis,Research,Find patterns in this survey data.,The hallucinations make it dangerous for beginners.,Ugly,Smartphone,Paid work/school,A few times a week,0.0,Very low,Moderate,Postpurchase behavior,Ad,,2.0,1.0,25-34,$100K-$149K,Yes,No,Ugly,ChatGPT/OpenAI,1.0,2.0
R100008,2026-04-23,ChatGPT/OpenAI,43.0,35-44,Graphic Designer,Part-time,Bachelor's degree,86000.0,$75k-$99k,Pink,West,rural,1.0,Meal planning,Creative writing,Debug this Python error and explain what happened.,"It gave me fake citations, which is a big problem.",Negative,Desktop,Paid individual,Multiple times daily,51.0,Moderate,Moderate,Evaluation of alternatives,Professor/teacher,Make better decisions,3.0,2.0,35-44,$75K-$99K,Yes,No,Negative,ChatGPT/OpenAI,3.0,2.0
R100009,2026-05-07,ChatGPT/OpenAI,41.0,35-44,Analyst,Freelance,High school,62000.0,$50k-$74k,Teal,South,Urban,4.0,Creating lesson plans,Research,BRAINSTORM TIKTOK CAPTIONS FOR A NEW PRODUCT LAUNCH.,Great for brainstorming when I do not know where to start!!!,Positive,Laptop,Free,A few times a week,9.0,Moderate,Low,Evaluation of alternatives,Professor/teacher,Have fun,10.0,5.0,35-44,$40K-$74K,No,No,Positive,ChatGPT/OpenAI,3.0,1.0
